recipe_id,recipe_name,recipeSummary,num_of_serving,serving_size,item_unit,recipe_weight,recipe_type_id,recipe_notes,prepare_time,description,total_carbohydrate,total_protein,total_energy,total_lipid_fat,recipe_image,food_type,micronutrient
RP100084,Shrimp Scampi,Creamy and savory mushroom risotto made with Arborio rice and mushrooms.,2,110,ml,840,170,Creamy and savory mushroom risotto made with Arborio rice and mushrooms.,30 min,"Simple and delicious pizza with tomato sauce, fresh mozzarella, and basil.",80.77,23.72,557,9.78,https://picsum.photos/698/266,recipe,
RP100085,Chicken Caesar Salad,Creamy and savory mushroom risotto made with Arborio rice and mushrooms.,7,160,ml,160,160,Light and flavorful grilled salmon fillets drizzled with fresh lemon juice.,30 min,Light and flavorful grilled salmon fillets drizzled with fresh lemon juice.,207.89,40.04,628,29.5,https://picsum.photos/341/715,recipe,
RP100086,Vegetarian Stir-Fry,Healthy stir-fry with a mix of colorful vegetables and tofu or your choice of protein.,9,130,gm,640,136,"Tasty beef tacos with seasoned meat, lettuce, tomatoes, and cheese.",15 min,Garlic-infused shrimp cooked in a white wine and lemon butter sauce.,3.14,69.3,417,26.07,https://picsum.photos/850/768,recipe,
RP100087,Spaghetti Bolognese,Garlic-infused shrimp cooked in a white wine and lemon butter sauce.,3,200,ml,160,64,Light and flavorful grilled salmon fillets drizzled with fresh lemon juice.,10 min,"Fresh and crisp salad with grilled chicken, romaine lettuce, and Caesar dressing.",99.78,52.45,593,46.57,https://placekitten.com/351/591,recipe,
RP100088,Mushroom Risotto,Creamy and savory mushroom risotto made with Arborio rice and mushrooms.,1,160,ml,220,35,"Simple and delicious pizza with tomato sauce, fresh mozzarella, and basil.",15 min,"Tasty beef tacos with seasoned meat, lettuce, tomatoes, and cheese.",242.44,29.72,1151,1.02,https://placekitten.com/422/38,recipe,
RP100089,Shrimp Scampi,Hearty vegan lentil soup packed with vegetables and aromatic spices.,10,110,gm,1000,122,"Fresh and crisp salad with grilled chicken, romaine lettuce, and Caesar dressing.",10 min,Light and flavorful grilled salmon fillets drizzled with fresh lemon juice.,279.79,1.42,1461,7.79,https://picsum.photos/394/907,recipe,
RP100090,Spaghetti Bolognese,Hearty vegan lentil soup packed with vegetables and aromatic spices.,8,160,gm,640,178,"Fresh and crisp salad with grilled chicken, romaine lettuce, and Caesar dressing.",10 min,"Simple and delicious pizza with tomato sauce, fresh mozzarella, and basil.",193.01,79.38,1356,39.0,https://picsum.photos/290/930,recipe,
RP100091,Mushroom Risotto,Creamy and savory mushroom risotto made with Arborio rice and mushrooms.,9,130,gm,160,196,"Creamy pasta dish with grilled chicken, Alfredo sauce, and Parmesan cheese.",15 min,Creamy and savory mushroom risotto made with Arborio rice and mushrooms.,89.88,42.28,1047,9.88,https://picsum.photos/29/799,recipe,
RP100092,Shrimp Scampi,"Classic Italian dish with ground beef, tomatoes, and herbs served over spaghetti.",6,160,ml,220,56,Hearty vegan lentil soup packed with vegetables and aromatic spices.,25 min,"Tasty beef tacos with seasoned meat, lettuce, tomatoes, and cheese.",250.1,65.96,608,37.11,https://placekitten.com/407/34,recipe,
RP100093,Vegan Lentil Soup,"Fresh and crisp salad with grilled chicken, romaine lettuce, and Caesar dressing.",7,220,ml,220,136,Hearty vegan lentil soup packed with vegetables and aromatic spices.,15 min,"Creamy pasta dish with grilled chicken, Alfredo sauce, and Parmesan cheese.",63.32,76.38,718,11.78,https://picsum.photos/112/1013,recipe,
RP100094,Grilled Salmon with Lemon,"Tasty beef tacos with seasoned meat, lettuce, tomatoes, and cheese.",6,110,gm,640,15,"Fresh and crisp salad with grilled chicken, romaine lettuce, and Caesar dressing.",30 min,"Classic Italian dish with ground beef, tomatoes, and herbs served over spaghetti.",108.2,62.71,870,42.27,https://dummyimage.com/995x810,recipe,
RP100095,Beef Tacos,"Classic Italian dish with ground beef, tomatoes, and herbs served over spaghetti.",1,200,gm,640,152,Creamy and savory mushroom risotto made with Arborio rice and mushrooms.,10 min,Garlic-infused shrimp cooked in a white wine and lemon butter sauce.,169.03,2.2,386,25.8,https://dummyimage.com/222x869,recipe,
RP100096,Chicken Caesar Salad,Hearty vegan lentil soup packed with vegetables and aromatic spices.,9,130,gm,840,151,"Tasty beef tacos with seasoned meat, lettuce, tomatoes, and cheese.",10 min,Creamy and savory mushroom risotto made with Arborio rice and mushrooms.,63.69,46.73,1427,21.39,https://placekitten.com/806/765,recipe,
RP100097,Spaghetti Bolognese,Garlic-infused shrimp cooked in a white wine and lemon butter sauce.,10,130,gm,200,146,"Simple and delicious pizza with tomato sauce, fresh mozzarella, and basil.",30 min,"Simple and delicious pizza with tomato sauce, fresh mozzarella, and basil.",288.42,34.1,865,30.21,https://placekitten.com/280/154,recipe,
RP100098,Vegetarian Stir-Fry,"Classic Italian dish with ground beef, tomatoes, and herbs served over spaghetti.",6,110,gm,160,179,Light and flavorful grilled salmon fillets drizzled with fresh lemon juice.,25 min,"Tasty beef tacos with seasoned meat, lettuce, tomatoes, and cheese.",169.18,27.9,1443,17.56,https://dummyimage.com/554x240,recipe,
RP100099,Vegan Lentil Soup,"Simple and delicious pizza with tomato sauce, fresh mozzarella, and basil.",4,110,gm,220,40,"Tasty beef tacos with seasoned meat, lettuce, tomatoes, and cheese.",10 min,Garlic-infused shrimp cooked in a white wine and lemon butter sauce.,176.13,49.43,499,27.41,https://dummyimage.com/380x474,recipe,
